_id,title,videoUrl,thumbnailUrl,genre,duration,year,rating,description,comments[0],favorite-length,views,linked-article[0],outfile-linked[0],language,author,isTrending,linked-aricle[0],outfile-article[0],langage
651c0acda738fa81d9dca151,avcnews2,videos/autoproduction/avcnews_2.mp4,thumbnails/memegneto.png,serie,1m25s,2021,9.06,"Mikee & Kenny prouvent sans conteste la présence des reptiliens sur les chaines... des reptiliens""",,6,4863,,,fr,nouvelle doxa,true,,,
651eb6441fae2ca9ddb6c2e4,mr reboot teaser,videos/autoproduction/mr_reboot.m4v,thumbnails/mrreboot+johnwick.png,serie,4m27,2020,9.4,test,,2,1000,,,fr,memegneto,true,,,
652302f09ef8371057bb0755,Mr Reboot Episode 1,videos/autoproduction/mr_reboot_ep1.mp4,thumbnails/mrreboot+johnwick.png,serie,4m18,2020,8.88,"Censuré sur youtube, rutube et odyssee en mai 2020, quand personne ne s'imaginait vraiment des vaccins d'ici un an tout juste, Memegneto sortait d'asile : petit bilan perso avec sa skyzophrenie qui le préparait à une guerre contre le nazisme dans une troisieme guerre mondiale...",,9,30191,,,,memegneto,true,,,fr
652325b79ef8371057bb1727,Mathématiques divines: la distance entre le soleil et la Terre,videos/1-al_islam/1677051471620.mp4,thumbnails/distancesunmoon.png,1-al_islam,0m32s,2023,8.87,Un ou deux des nombreux secrets de la distance entre les planètes du système,,188,8747,,,eng,,false,,,
652325b79ef8371057bb1728,1677320866332,videos/1-al_islam/1677320866332.mp4,thumbnails/1-al_islam/cpl3.png,1-al_islam,0m10s,2023,8.04,"Pas encore de description, donc voici une citation: Le terre-eau des guerres est votre peur, leur semence est votre manque, Maudissez qui sème en terre de providences. Orland Opal",,790,73039,,,fr,,,,,
652325b79ef8371057bb1729,1677336446472,videos/1-al_islam/1677336446472.mp4,thumbnails/1-al_islam/cpl3.png,1-al_islam,5m31s,2023,6.39,"Pas encore de description, donc voici une citation: Le terre-eau des guerres est votre peur, leur semence est votre manque, Maudissez qui sème en terre de providences. Orland Opal",,773,22528,,,fr,,,,,
652325b79ef8371057bb172a,1677447115550,videos/1-al_islam/1677447115550.mp4,thumbnails/1-al_islam/cpl3.png,1-al_islam,3m54s,2023,7.5,"Pas encore de description, donc voici une citation: Le terre-eau des guerres est votre peur, leur semence est votre manque, Maudissez qui sème en terre de providences. Orland Opal",,730,5529,,,fr,,,,,
652325b79ef8371057bb172b,1678571204793,videos/1-al_islam/1678571204793.mp4,thumbnails/1-al_islam/cpl3.png,1-al_islam,5m19s,2023,6.14,"Pas encore de description, donc voici une citation: Le terre-eau des guerres est votre peur, leur semence est votre manque, Maudissez qui sème en terre de providences. Orland Opal",,326,44364,,,fr,,,,,
652325b79ef8371057bb172c,1678981737028,videos/1-al_islam/1678981737028.mp4,thumbnails/1-al_islam/cpl3.png,1-al_islam,1m27s,2023,5.25,"Pas encore de description, donc voici une citation: Le terre-eau des guerres est votre peur, leur semence est votre manque, Maudissez qui sème en terre de providences. Orland Opal",,119,8569,,,fr,,,,,
652325b79ef8371057bb172d,1679130011538,videos/1-al_islam/1679130011538.mp4,thumbnails/1-al_islam/cpl3.png,1-al_islam,0m15s,2023,5.72,"Pas encore de description, donc voici une citation: Le terre-eau des guerres est votre peur, leur semence est votre manque, Maudissez qui sème en terre de providences. Orland Opal",,116,76939,,,fr,,,,,
