id,title,videoUrl,genre,language,author,thumbnailUrl,duration,year,rating,description,favoriteLength,views,linkedArticle,isTrending,isPremium
5d9eb1d0-1048-43cb-887e-536362bf8274,avcnews2,videos/autoproduction/avcnews_2.mp4,serie,fr,nouvelle doxa,thumbnails/memegneto.png,1m25s,2021,9.06,"Mikee & Kenny prouvent sans conteste la présence des reptiliens sur les chaines... des reptiliens""",0,4863,,True,False
9a647a3d-cd30-4847-970b-ec5dc13262f2,mr reboot teaser,videos/autoproduction/mr_reboot.m4v,serie,fr,memegneto,thumbnails/mrreboot+johnwick.png,4m27,2020,9.4,test,0,1000,,False,False
2a2ed311-8cfc-49e5-80fa-14379c550a39,Mr Reboot Episode 1,videos/autoproduction/mr_reboot_ep1.mp4,serie,,memegneto,thumbnails/mrreboot+johnwick.png,4m18,2020,8.88,"Censuré sur youtube, rutube et odyssee en mai 2020, quand personne ne s'imaginait vraiment des vaccins d'ici un an tout juste, Memegneto sortait d'asile : petit bilan perso avec sa skyzophrenie qui le préparait à une guerre contre le nazisme dans une troisieme guerre mondiale...",0,30191,,False,False
3f9f37a0-d0be-4e3f-99d0-55b3531203d5,Mathématiques divines: la distance entre le soleil et la Terre,videos/1-al_islam/1677051471620.mp4,1-al_islam,eng,,thumbnails/distancesunmoon.png,0m32s,2023,8.87,Un ou deux des nombreux secrets de la distance entre les planètes du système,0,8747,,False,False
753cb0b5-5aef-4b4b-b6e0-4f80783514a4,1677320866332,videos/1-al_islam/1677320866332.mp4,1-al_islam,fr,,thumbnails/1-al_islam/cpl3.png,0m10s,2023,8.04,"Pas encore de description, donc voici une citation: Le terre-eau des guerres est votre peur, leur semence est votre manque, Maudissez qui sème en terre de providences. Orland Opal",0,73039,,False,False
edbbe972-f08b-45fb-8320-37a63af30e8b,1677336446472,videos/1-al_islam/1677336446472.mp4,1-al_islam,fr,,thumbnails/1-al_islam/cpl3.png,5m31s,2023,6.39,"Pas encore de description, donc voici une citation: Le terre-eau des guerres est votre peur, leur semence est votre manque, Maudissez qui sème en terre de providences. Orland Opal",0,22528,,False,False
a57987c5-3968-4339-bc9c-3a68ec45da02,1677447115550,videos/1-al_islam/1677447115550.mp4,1-al_islam,fr,,thumbnails/1-al_islam/cpl3.png,3m54s,2023,7.5,"Pas encore de description, donc voici une citation: Le terre-eau des guerres est votre peur, leur semence est votre manque, Maudissez qui sème en terre de providences. Orland Opal",0,5529,,False,False
c9acc935-ef9b-4782-b20f-995e3ed41803,1678571204793,videos/1-al_islam/1678571204793.mp4,1-al_islam,fr,,thumbnails/1-al_islam/cpl3.png,5m19s,2023,6.14,"Pas encore de description, donc voici une citation: Le terre-eau des guerres est votre peur, leur semence est votre manque, Maudissez qui sème en terre de providences. Orland Opal",0,44364,,False,False
4ba97d30-8180-402b-9353-2d4004bb04f8,1678981737028,videos/1-al_islam/1678981737028.mp4,1-al_islam,fr,,thumbnails/1-al_islam/cpl3.png,1m27s,2023,5.25,"Pas encore de description, donc voici une citation: Le terre-eau des guerres est votre peur, leur semence est votre manque, Maudissez qui sème en terre de providences. Orland Opal",0,8569,,False,False
ed06d323-01cd-4305-b958-bce3b458a64e,1679130011538,videos/1-al_islam/1679130011538.mp4,1-al_islam,fr,,thumbnails/1-al_islam/cpl3.png,0m15s,2023,5.72,"Pas encore de description, donc voici une citation: Le terre-eau des guerres est votre peur, leur semence est votre manque, Maudissez qui sème en terre de providences. Orland Opal",0,76939,,False,False
79b7d403-8bef-49bc-80ef-e3febc5a4a0d,1679380124517,videos/1-al_islam/1679380124517.mp4,1-al_islam,fr,,thumbnails/1-al_islam/cpl3.png,2m55s,2023,4.2,"Pas encore de description, donc voici une citation: Le terre-eau des guerres est votre peur, leur semence est votre manque, Maudissez qui sème en terre de providences. Orland Opal",0,10842,,False,False
2b70ecf5-715a-433a-95a9-f36362401680,1680239786726,videos/1-al_islam/1680239786726.mp4,1-al_islam,fr,,thumbnails/1-al_islam/cpl3.png,2m58s,2023,7.42,"Pas encore de description, donc voici une citation: Le terre-eau des guerres est votre peur, leur semence est votre manque, Maudissez qui sème en terre de providences. Orland Opal",0,37449,,False,False
68f8f618-7de6-4a0c-9093-8636da8137ce,1680289592156,videos/1-al_islam/1680289592156.mp4,1-al_islam,fr,,thumbnails/1-al_islam/cpl3.png,0m49s,2023,7.14,"Pas encore de description, donc voici une citation: Le terre-eau des guerres est votre peur, leur semence est votre manque, Maudissez qui sème en terre de providences. Orland Opal",0,46321,,False,False
6afcc863-17cc-4ff6-ab1e-4e93e2c81e03,1680497450699,videos/1-al_islam/1680497450699.mp4,1-al_islam,fr,,thumbnails/1-al_islam/cpl3.png,0m25s,2023,5.34,"Pas encore de description, donc voici une citation: Le terre-eau des guerres est votre peur, leur semence est votre manque, Maudissez qui sème en terre de providences. Orland Opal",0,67620,,False,False
ad774aae-9dd8-4714-9469-cd5f8a42fee0,1680564959244,videos/1-al_islam/1680564959244.mp4,1-al_islam,fr,,thumbnails/1-al_islam/cpl3.png,0m37s,2023,5,"Pas encore de description, donc voici une citation: Le terre-eau des guerres est votre peur, leur semence est votre manque, Maudissez qui sème en terre de providences. Orland Opal",0,26303,,False,False
58db4c0d-3112-45be-99e7-14db7a48c452,1680726423468,videos/1-al_islam/1680726423468.mp4,1-al_islam,fr,,thumbnails/1-al_islam/cpl3.png,9m1s,2023,5.31,"Pas encore de description, donc voici une citation: Le terre-eau des guerres est votre peur, leur semence est votre manque, Maudissez qui sème en terre de providences. Orland Opal",0,31078,,False,False
a03c4f55-5a6a-48bf-ae39-a00c11c331e6,1680781204335,videos/1-al_islam/1680781204335.mp4,1-al_islam,fr,,thumbnails/1-al_islam/cpl3.png,3m11s,2023,6.34,"Pas encore de description, donc voici une citation: Le terre-eau des guerres est votre peur, leur semence est votre manque, Maudissez qui sème en terre de providences. Orland Opal",0,64691,,False,False
216fe79a-3d93-49e1-b0c6-e9f791a9aa9a,1680789510391,videos/1-al_islam/1680789510391.mp4,1-al_islam,fr,,thumbnails/1-al_islam/cpl3.png,8m27s,2023,4.26,"Pas encore de description, donc voici une citation: Le terre-eau des guerres est votre peur, leur semence est votre manque, Maudissez qui sème en terre de providences. Orland Opal",0,44532,,False,False
88420609-9269-45a4-a66b-77503dd9f16c,1681583122978,videos/1-al_islam/1681583122978.mp4,1-al_islam,fr,,thumbnails/1-al_islam/cpl3.png,7m26s,2023,4.76,"Pas encore de description, donc voici une citation: Le terre-eau des guerres est votre peur, leur semence est votre manque, Maudissez qui sème en terre de providences. Orland Opal",0,15755,,False,False
2d547f6e-bcc5-48e5-9c2a-e052b2dd59e9,1681836944633,videos/1-al_islam/1681836944633.mp4,1-al_islam,fr,,thumbnails/1-al_islam/cpl3.png,0m45s,2023,6.98,"Pas encore de description, donc voici une citation: Le terre-eau des guerres est votre peur, leur semence est votre manque, Maudissez qui sème en terre de providences. Orland Opal",0,37961,,False,False
50f14a45-d9fd-4f63-af44-2d8b4f8dfbc4,1681837049786,videos/1-al_islam/1681837049786.mp4,1-al_islam,fr,,thumbnails/1-al_islam/cpl3.png,0m55s,2023,8.22,"Pas encore de description, donc voici une citation: Le terre-eau des guerres est votre peur, leur semence est votre manque, Maudissez qui sème en terre de providences. Orland Opal",0,24032,,False,False
4ee46a67-4da9-473a-b7fb-410560a3b7b2,1681837361918,videos/1-al_islam/1681837361918.mp4,1-al_islam,fr,,thumbnails/1-al_islam/cpl3.png,5m41s,2023,9.32,"Pas encore de description, donc voici une citation: Le terre-eau des guerres est votre peur, leur semence est votre manque, Maudissez qui sème en terre de providences. Orland Opal",0,72927,,False,False
