id,title,videoUrl,genre,language,author,thumbnailUrl,duration,year,rating,description,favoriteLength,views,isTrending,isPremium
557893bb-c86d-4f08-ab22-2d87ede5773a,avcnews2,videos/autoproduction/avcnews_2.mp4,serie,fr,nouvelle doxa,thumbnails/memegneto.png,1m25s,2021,9.06,"Mikee & Kenny prouvent sans conteste la présence des reptiliens sur les chaines... des reptiliens",0,4863,True,False
557893bb-c86d-4f08-ab22-2d87ede5773a,mr reboot teaser,videos/autoproduction/mr_reboot.m4v,serie,fr,memegneto,thumbnails/mrreboot+johnwick.png,4m27,2020,9.4,test,0,1000,False,False
557893bb-c86d-4f08-ab22-2d87ede5773a,Mr Reboot Episode 1,videos/autoproduction/mr_reboot_ep1.mp4,serie,,memegneto,thumbnails/mrreboot+johnwick.png,4m18,2020,8.88,"Censuré sur youtube, rutube et odyssee en mai 2020, quand personne ne s'imaginait vraiment des vaccins d'ici un an tout juste, Memegneto sortait d'asile : petit bilan perso avec sa skyzophrenie qui le préparait à une guerre contre le nazisme dans une troisieme guerre mondiale...",0,30191,False,False
557893bb-c86d-4f08-ab22-2d87ede5773a,Mathématiques divines: la distance entre le soleil et la Terre,videos/1-al_islam/1677051471620.mp4,1-al_islam,eng,,thumbnails/distancesunmoon.png,0m32s,2023,8.87,Un ou deux des nombreux secrets de la distance entre les planètes du système,0,8747,False,False
557893bb-c86d-4f08-ab22-2d87ede5773a,1677320866332,videos/1-al_islam/1677320866332.mp4,1-al_islam,fr,,thumbnails/1-al_islam/cpl3.png,0m10s,2023,8.04,"Pas encore de description, donc voici une citation: Le terre-eau des guerres est votre peur, leur semence est votre manque, Maudissez qui sème en terre de providences. Orland Opal",0,73039,False,False
557893bb-c86d-4f08-ab22-2d87ede5773a,1677336446472,videos/1-al_islam/1677336446472.mp4,1-al_islam,fr,,thumbnails/1-al_islam/cpl3.png,5m31s,2023,6.39,"Pas encore de description, donc voici une citation: Le terre-eau des guerres est votre peur, leur semence est votre manque, Maudissez qui sème en terre de providences. Orland Opal",0,22528,False,False
557893bb-c86d-4f08-ab22-2d87ede5773a,1677447115550,videos/1-al_islam/1677447115550.mp4,1-al_islam,fr,,thumbnails/1-al_islam/cpl3.png,3m54s,2023,7.5,"Pas encore de description, donc voici une citation: Le terre-eau des guerres est votre peur, leur semence est votre manque, Maudissez qui sème en terre de providences. Orland Opal",0,5529,False,False
557893bb-c86d-4f08-ab22-2d87ede5773a,1678571204793,videos/1-al_islam/1678571204793.mp4,1-al_islam,fr,,thumbnails/1-al_islam/cpl3.png,5m19s,2023,6.14,"Pas encore de description, donc voici une citation: Le terre-eau des guerres est votre peur, leur semence est votre manque, Maudissez qui sème en terre de providences. Orland Opal",0,44364,False,False
557893bb-c86d-4f08-ab22-2d87ede5773a,1678981737028,videos/1-al_islam/1678981737028.mp4,1-al_islam,fr,,thumbnails/1-al_islam/cpl3.png,1m27s,2023,5.25,"Pas encore de description, donc voici une citation: Le terre-eau des guerres est votre peur, leur semence est votre manque, Maudissez qui sème en terre de providences. Orland Opal",0,8569,False,False
557893bb-c86d-4f08-ab22-2d87ede5773a,1679130011538,videos/1-al_islam/1679130011538.mp4,1-al_islam,fr,,thumbnails/1-al_islam/cpl3.png,0m15s,2023,5.72,"Pas encore de description, donc voici une citation: Le terre-eau des guerres est votre peur, leur semence est votre manque, Maudissez qui sème en terre de providences. Orland Opal",0,76939,False,False
557893bb-c86d-4f08-ab22-2d87ede5773a,1679380124517,videos/1-al_islam/1679380124517.mp4,1-al_islam,fr,,thumbnails/1-al_islam/cpl3.png,2m55s,2023,4.2,"Pas encore de description, donc voici une citation: Le terre-eau des guerres est votre peur, leur semence est votre manque, Maudissez qui sème en terre de providences. Orland Opal",0,10842,False,False
557893bb-c86d-4f08-ab22-2d87ede5773a,1680239786726,videos/1-al_islam/1680239786726.mp4,1-al_islam,fr,,thumbnails/1-al_islam/cpl3.png,2m58s,2023,7.42,"Pas encore de description, donc voici une citation: Le terre-eau des guerres est votre peur, leur semence est votre manque, Maudissez qui sème en terre de providences. Orland Opal",0,37449,False,False
557893bb-c86d-4f08-ab22-2d87ede5773a,1680289592156,videos/1-al_islam/1680289592156.mp4,1-al_islam,fr,,thumbnails/1-al_islam/cpl3.png,0m49s,2023,7.14,"Pas encore de description, donc voici une citation: Le terre-eau des guerres est votre peur, leur semence est votre manque, Maudissez qui sème en terre de providences. Orland Opal",0,46321,False,False
557893bb-c86d-4f08-ab22-2d87ede5773a,1680497450699,videos/1-al_islam/1680497450699.mp4,1-al_islam,fr,,thumbnails/1-al_islam/cpl3.png,0m25s,2023,5.34,"Pas encore de description, donc voici une citation: Le terre-eau des guerres est votre peur, leur semence est votre manque, Maudissez qui sème en terre de providences. Orland Opal",0,67620,False,False
