genreId,movieId
db20ad50-676b-4e0d-b8a2-53cb6736f2d8,5d9eb1d0-1048-43cb-887e-536362bf8274
2d4f29fb-37db-48f5-a389-e4db2a1a0cb5,9a647a3d-cd30-4847-970b-ec5dc13262f2
ed38e461-0df2-4d9f-bfaf-5a920c304576,2a2ed311-8cfc-49e5-80fa-14379c550a39
e4b0e86d-9a43-434f-a957-28f5ceb5e69f,3f9f37a0-d0be-4e3f-99d0-55b3531203d5
6e90b854-5b5d-4a14-94dc-ff357a8b42a9,753cb0b5-5aef-4b4b-b6e0-4f80783514a4
c0a328a0-bd4f-4785-867d-6abd78565e94,edbbe972-f08b-45fb-8320-37a63af30e8b
9cb963a8-125b-4f41-8073-f2733b6dc45b,a57987c5-3968-4339-bc9c-3a68ec45da02
4ed87aa4-9f1a-4de9-9203-60e1416e8b00,c9acc935-ef9b-4782-b20f-995e3ed41803
5c6e1fd3-71cc-4626-b3ae-ca90dc615c83,4ba97d30-8180-402b-9353-2d4004bb04f8
074843f8-fb05-4128-8d5f-d274a3a6e1a1,ed06d323-01cd-4305-b958-bce3b458a64e
1eca8fe2-64cf-4973-8cda-9cb35501c186,79b7d403-8bef-49bc-80ef-e3febc5a4a0d
a4be5f5d-0517-44c7-8acf-820aacf08f81,2b70ecf5-715a-433a-95a9-f36362401680
8dcdf74d-929c-44a0-8f9b-aad28dcb8289,68f8f618-7de6-4a0c-9093-8636da8137ce
7b51518e-74f4-49fd-b40d-4d1633050f66,6afcc863-17cc-4ff6-ab1e-4e93e2c81e03
bbd5b0cc-05ae-48d5-a113-c602750206a0,ad774aae-9dd8-4714-9469-cd5f8a42fee0
25db5a2a-e2a0-4691-b254-bccf764ec948,58db4c0d-3112-45be-99e7-14db7a48c452
e182b851-dc99-4ce8-869d-a56b6e02eb84,a03c4f55-5a6a-48bf-ae39-a00c11c331e6
90281cb5-4792-4b19-b4fc-46b50cafbf41,216fe79a-3d93-49e1-b0c6-e9f791a9aa9a
ea835f16-bb5d-4889-ae29-b10f5daef40d,88420609-9269-45a4-a66b-77503dd9f16c
1712ec1f-6aec-4a23-98cc-01b0fe17006b,2d547f6e-bcc5-48e5-9c2a-e052b2dd59e9
50c6595c-75c6-4e6c-ab54-392f7c81d82e,50f14a45-d9fd-4f63-af44-2d8b4f8dfbc4
9d9e37e2-1fc9-4a6d-b13b-ade87f3cc838,4ee46a67-4da9-473a-b7fb-410560a3b7b2
